O*NET-SOC Code,Element ID,Element Name,Scale ID,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
11-1011.03,2.A.2.b,Active Learning,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2021,Analyst
11-1011.03,2.A.2.c,Learning Strategies,IM,3.38,8,0.183,3.0164,3.7336,N,missing,08/2021,Analyst
11-1011.03,2.A.2.d,Monitoring,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2021,Analyst
11-1011.03,2.B.1.a,Social Perceptiveness,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2021,Analyst
11-1011.03,2.B.1.b,Coordination,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2021,Analyst
11-1011.03,2.B.1.c,Persuasion,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2021,Analyst
11-1011.03,2.B.1.d,Negotiation,IM,3.12,8,0.125,2.88,3.37,N,missing,08/2021,Analyst
11-1011.03,2.B.1.e,Instructing,IM,3.25,8,0.1637,2.9292,3.5708,N,missing,08/2021,Analyst
11-1011.03,2.B.1.f,Service Orientation,IM,3.25,8,0.1637,2.9292,3.5708,N,missing,08/2021,Analyst
11-1011.03,2.B.2.i,Complex Problem Solving,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2021,Analyst
11-1011.03,2.B.3.a,Operations Analysis,IM,2.88,8,0.2266,2.4309,3.3191,N,missing,08/2021,Analyst
11-1011.03,2.B.3.b,Technology Design,IM,1.88,8,0.125,1.63,2.12,N,missing,08/2021,Analyst
11-1011.03,2.B.3.c,Equipment Selection,IM,1.12,8,0.125,1.0,1.37,N,missing,08/2021,Analyst
11-1011.03,2.B.3.c,Equipment Selection,LV,0.25,8,0.25,0.0,0.74,N,Y,08/2021,Analyst
11-1011.03,2.B.3.d,Installation,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2021,Analyst
11-1011.03,2.B.3.d,Installation,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2021,Analyst
11-1011.03,2.B.3.e,Programming,IM,1.88,8,0.125,1.63,2.12,N,missing,08/2021,Analyst
11-1011.03,2.B.3.g,Operations Monitoring,IM,2.0,8,0.0,2.0,2.0,N,missing,08/2021,Analyst
11-1011.03,2.B.3.h,Operation and Control,IM,2.0,8,0.0,2.0,2.0,N,missing,08/2021,Analyst
11-1011.03,2.B.3.j,Equipment Maintenance,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2021,Analyst
11-1011.03,2.B.3.j,Equipment Maintenance,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2021,Analyst
11-1011.03,2.B.3.k,Troubleshooting,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2021,Analyst
11-1011.03,2.B.3.k,Troubleshooting,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2021,Analyst
11-1011.03,2.B.3.l,Repairing,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2021,Analyst
11-1011.03,2.B.3.l,Repairing,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2021,Analyst
11-1011.03,2.B.3.m,Quality Control Analysis,IM,1.88,8,0.2266,1.4309,2.3191,N,missing,08/2021,Analyst
11-1011.03,2.B.4.e,Judgment and Decision Making,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2021,Analyst
11-1011.03,2.B.4.g,Systems Analysis,IM,3.88,8,0.2266,3.4309,4.3191,N,missing,08/2021,Analyst
11-1011.03,2.B.4.h,Systems Evaluation,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2021,Analyst
11-1011.03,2.B.5.a,Time Management,IM,3.38,8,0.183,3.0164,3.7336,N,missing,08/2021,Analyst
11-1011.03,2.B.5.b,Management of Financial Resources,IM,2.88,8,0.125,2.63,3.12,N,missing,08/2021,Analyst
11-1011.03,2.B.5.c,Management of Material Resources,IM,2.25,8,0.1637,1.9292,2.5708,N,missing,08/2021,Analyst
11-1011.03,2.B.5.d,Management of Personnel Resources,IM,3.12,8,0.2266,2.6809,3.5691,N,missing,08/2021,Analyst
11-1021.00,2.A.1.a,Reading Comprehension,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2023,Analyst
11-1021.00,2.A.1.b,Active Listening,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2023,Analyst
11-1021.00,2.A.1.c,Writing,IM,3.5,8,0.189,3.1296,3.8704,N,missing,08/2023,Analyst
11-1021.00,2.A.1.d,Speaking,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2023,Analyst
11-1021.00,2.A.1.e,Mathematics,IM,2.62,8,0.183,2.2664,2.9836,N,missing,08/2023,Analyst
11-1021.00,2.A.1.f,Science,IM,1.5,8,0.189,1.1296,1.8704,N,missing,08/2023,Analyst
11-1021.00,2.A.2.a,Critical Thinking,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2023,Analyst
11-1021.00,2.A.2.b,Active Learning,IM,3.62,8,0.183,3.2664,3.9836,N,missing,08/2023,Analyst
11-1021.00,2.A.2.c,Learning Strategies,IM,3.0,8,0.0,3.0,3.0,N,missing,08/2023,Analyst
11-1021.00,2.A.2.d,Monitoring,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2023,Analyst
11-1021.00,2.B.1.a,Social Perceptiveness,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2023,Analyst
11-1021.00,2.B.1.b,Coordination,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2023,Analyst
11-1021.00,2.B.1.c,Persuasion,IM,3.62,8,0.183,3.2664,3.9836,N,missing,08/2023,Analyst
11-1021.00,2.B.1.d,Negotiation,IM,3.5,8,0.189,3.1296,3.8704,N,missing,08/2023,Analyst
11-1021.00,2.B.1.e,Instructing,IM,3.0,8,0.0,3.0,3.0,N,missing,08/2023,Analyst
11-1021.00,2.B.1.f,Service Orientation,IM,3.25,8,0.1637,2.9292,3.5708,N,missing,08/2023,Analyst
11-1021.00,2.B.2.i,Complex Problem Solving,IM,3.62,8,0.183,3.2664,3.9836,N,missing,08/2023,Analyst
11-1021.00,2.B.3.a,Operations Analysis,IM,2.5,8,0.2673,1.9762,3.0238,N,missing,08/2023,Analyst
11-1021.00,2.B.3.b,Technology Design,IM,1.5,8,0.189,1.1296,1.8704,N,missing,08/2023,Analyst
11-1021.00,2.B.3.c,Equipment Selection,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2023,Analyst
11-1021.00,2.B.3.c,Equipment Selection,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2023,Analyst
11-1021.00,2.B.3.d,Installation,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2023,Analyst
11-1021.00,2.B.3.d,Installation,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2023,Analyst
11-1021.00,2.B.3.e,Programming,IM,1.5,8,0.189,1.1296,1.8704,N,missing,08/2023,Analyst
11-1021.00,2.B.3.g,Operations Monitoring,IM,2.25,8,0.25,1.76,2.74,N,missing,08/2023,Analyst
11-1021.00,2.B.3.h,Operation and Control,IM,1.88,8,0.125,1.63,2.12,N,missing,08/2023,Analyst
11-1021.00,2.B.3.j,Equipment Maintenance,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2023,Analyst
11-1021.00,2.B.3.j,Equipment Maintenance,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2023,Analyst
11-1021.00,2.B.3.k,Troubleshooting,IM,1.75,8,0.1637,1.4292,2.0708,N,missing,08/2023,Analyst
11-1021.00,2.B.3.l,Repairing,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2023,Analyst
11-1021.00,2.B.3.l,Repairing,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2023,Analyst
11-1021.00,2.B.3.m,Quality Control Analysis,IM,2.38,8,0.183,2.0164,2.7336,N,missing,08/2023,Analyst
11-1021.00,2.B.4.e,Judgment and Decision Making,IM,3.62,8,0.183,3.2664,3.9836,N,missing,08/2023,Analyst
11-1021.00,2.B.4.g,Systems Analysis,IM,3.12,8,0.125,2.88,3.37,N,missing,08/2023,Analyst
11-1021.00,2.B.4.h,Systems Evaluation,IM,3.12,8,0.125,2.88,3.37,N,missing,08/2023,Analyst
11-1021.00,2.B.5.a,Time Management,IM,3.62,8,0.183,3.2664,3.9836,N,missing,08/2023,Analyst
11-1021.00,2.B.5.b,Management of Financial Resources,IM,3.0,8,0.189,2.6296,3.3704,N,missing,08/2023,Analyst
11-1021.00,2.B.5.c,Management of Material Resources,IM,3.12,8,0.2266,2.6809,3.5691,N,missing,08/2023,Analyst
11-1021.00,2.B.5.d,Management of Personnel Resources,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2023,Analyst
11-2011.00,2.A.1.a,Reading Comprehension,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2018,Analyst
11-2011.00,2.A.1.b,Active Listening,IM,4.12,8,0.125,3.88,4.37,N,missing,08/2018,Analyst
11-2011.00,2.A.1.c,Writing,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2018,Analyst
11-2011.00,2.A.1.d,Speaking,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2018,Analyst
11-2011.00,2.A.1.e,Mathematics,IM,3.0,8,0.0,3.0,3.0,N,missing,08/2018,Analyst
11-2011.00,2.A.1.f,Science,IM,1.62,8,0.183,1.2664,1.9836,N,missing,08/2018,Analyst
11-2011.00,2.A.2.a,Critical Thinking,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2018,Analyst
11-2011.00,2.A.2.b,Active Learning,IM,3.25,8,0.1637,2.9292,3.5708,N,missing,08/2018,Analyst
11-2011.00,2.A.2.c,Learning Strategies,IM,3.0,8,0.0,3.0,3.0,N,missing,08/2018,Analyst
11-2011.00,2.A.2.d,Monitoring,IM,3.25,8,0.1637,2.9292,3.5708,N,missing,08/2018,Analyst
11-2011.00,2.B.1.a,Social Perceptiveness,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2018,Analyst
11-2011.00,2.B.1.b,Coordination,IM,3.5,8,0.189,3.1296,3.8704,N,missing,08/2018,Analyst
11-2011.00,2.B.1.c,Persuasion,IM,3.38,8,0.183,3.0164,3.7336,N,missing,08/2018,Analyst
11-2011.00,2.B.1.d,Negotiation,IM,3.12,8,0.125,2.88,3.37,N,missing,08/2018,Analyst
11-2011.00,2.B.1.e,Instructing,IM,2.88,8,0.125,2.63,3.12,N,missing,08/2018,Analyst
11-2011.00,2.B.1.f,Service Orientation,IM,3.12,8,0.125,2.88,3.37,N,missing,08/2018,Analyst
11-2011.00,2.B.2.i,Complex Problem Solving,IM,3.5,8,0.189,3.1296,3.8704,N,missing,08/2018,Analyst
11-2011.00,2.B.3.a,Operations Analysis,IM,2.75,8,0.25,2.26,3.24,N,missing,08/2018,Analyst
11-2011.00,2.B.3.b,Technology Design,IM,1.75,8,0.1637,1.4292,2.0708,N,missing,08/2018,Analyst
11-2011.00,2.B.3.c,Equipment Selection,IM,1.12,8,0.125,1.0,1.37,N,missing,08/2018,Analyst
11-2011.00,2.B.3.c,Equipment Selection,LV,0.12,8,0.125,0.0,0.37,N,Y,08/2018,Analyst
11-2011.00,2.B.3.d,Installation,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2018,Analyst
11-2011.00,2.B.3.d,Installation,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2018,Analyst
11-2011.00,2.B.3.e,Programming,IM,1.75,8,0.1637,1.4292,2.0708,N,missing,08/2018,Analyst
11-2011.00,2.B.3.g,Operations Monitoring,IM,1.62,8,0.183,1.2664,1.9836,N,missing,08/2018,Analyst
11-2011.00,2.B.3.h,Operation and Control,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2018,Analyst
11-2011.00,2.B.3.h,Operation and Control,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2018,Analyst
11-2011.00,2.B.3.j,Equipment Maintenance,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2018,Analyst
11-2011.00,2.B.3.j,Equipment Maintenance,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2018,Analyst
11-2011.00,2.B.3.k,Troubleshooting,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2018,Analyst
11-2011.00,2.B.3.k,Troubleshooting,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2018,Analyst
11-2011.00,2.B.3.l,Repairing,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2018,Analyst
11-2011.00,2.B.3.l,Repairing,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2018,Analyst
11-2011.00,2.B.3.m,Quality Control Analysis,IM,1.62,8,0.183,1.2664,1.9836,N,missing,08/2018,Analyst
11-2011.00,2.B.4.e,Judgment and Decision Making,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2018,Analyst
11-2011.00,2.B.4.g,Systems Analysis,IM,3.12,8,0.125,2.88,3.37,N,missing,08/2018,Analyst
11-2011.00,2.B.4.h,Systems Evaluation,IM,3.12,8,0.125,2.88,3.37,N,missing,08/2018,Analyst
11-2011.00,2.B.5.a,Time Management,IM,3.5,8,0.189,3.1296,3.8704,N,missing,08/2018,Analyst
11-2011.00,2.B.5.b,Management of Financial Resources,IM,2.75,8,0.1637,2.4292,3.0708,N,missing,08/2018,Analyst
11-2011.00,2.B.5.c,Management of Material Resources,IM,2.62,8,0.183,2.2664,2.9836,N,missing,08/2018,Analyst
11-2011.00,2.B.5.d,Management of Personnel Resources,IM,3.12,8,0.125,2.88,3.37,N,missing,08/2018,Analyst
11-2021.00,2.A.1.a,Reading Comprehension,IM,3.88,8,0.125,3.63,4.12,N,missing,07/2015,Analyst
11-2021.00,2.A.1.b,Active Listening,IM,3.88,8,0.125,3.63,4.12,N,missing,07/2015,Analyst
11-2021.00,2.A.1.c,Writing,IM,3.25,8,0.1637,2.9292,3.5708,N,missing,07/2015,Analyst
11-2021.00,2.A.1.d,Speaking,IM,3.88,8,0.125,3.63,4.12,N,missing,07/2015,Analyst
11-2021.00,2.A.1.e,Mathematics,IM,2.75,8,0.1637,2.4292,3.0708,N,missing,07/2015,Analyst
11-2021.00,2.A.1.f,Science,IM,1.75,8,0.1637,1.4292,2.0708,N,missing,07/2015,Analyst
11-2021.00,2.A.2.a,Critical Thinking,IM,3.88,8,0.125,3.63,4.12,N,missing,07/2015,Analyst
11-2021.00,2.A.2.b,Active Learning,IM,3.88,8,0.125,3.63,4.12,N,missing,07/2015,Analyst
11-2021.00,2.A.2.c,Learning Strategies,IM,3.12,8,0.125,2.88,3.37,N,missing,07/2015,Analyst
11-2021.00,2.A.2.d,Monitoring,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,07/2015,Analyst
11-2021.00,2.B.1.a,Social Perceptiveness,IM,3.88,8,0.125,3.63,4.12,N,missing,07/2015,Analyst
11-2021.00,2.B.1.b,Coordination,IM,3.5,8,0.189,3.1296,3.8704,N,missing,07/2015,Analyst
11-2021.00,2.B.1.c,Persuasion,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,07/2015,Analyst
11-2021.00,2.B.1.d,Negotiation,IM,3.62,8,0.183,3.2664,3.9836,N,missing,07/2015,Analyst
11-2021.00,2.B.1.e,Instructing,IM,3.0,8,0.0,3.0,3.0,N,missing,07/2015,Analyst
11-2021.00,2.B.1.f,Service Orientation,IM,3.12,8,0.125,2.88,3.37,N,missing,07/2015,Analyst
11-2021.00,2.B.2.i,Complex Problem Solving,IM,3.62,8,0.183,3.2664,3.9836,N,missing,07/2015,Analyst
11-2021.00,2.B.3.a,Operations Analysis,IM,3.38,8,0.183,3.0164,3.7336,N,missing,07/2015,Analyst
11-2021.00,2.B.3.b,Technology Design,IM,1.75,8,0.1637,1.4292,2.0708,N,missing,07/2015,Analyst
11-2021.00,2.B.3.c,Equipment Selection,IM,1.0,8,0.0,1.0,1.0,N,missing,07/2015,Analyst
11-2021.00,2.B.3.c,Equipment Selection,LV,0.0,8,0.0,0.0,0.0,N,Y,07/2015,Analyst
11-2021.00,2.B.3.d,Installation,IM,1.0,8,0.0,1.0,1.0,N,missing,07/2015,Analyst
11-2021.00,2.B.3.d,Installation,LV,0.0,8,0.0,0.0,0.0,N,Y,07/2015,Analyst
11-2021.00,2.B.3.e,Programming,IM,1.88,8,0.125,1.63,2.12,N,missing,07/2015,Analyst
11-2021.00,2.B.3.g,Operations Monitoring,IM,1.75,8,0.1637,1.4292,2.0708,N,missing,07/2015,Analyst
11-2021.00,2.B.3.h,Operation and Control,IM,1.0,8,0.0,1.0,1.0,N,missing,07/2015,Analyst
11-2021.00,2.B.3.h,Operation and Control,LV,0.0,8,0.0,0.0,0.0,N,Y,07/2015,Analyst
11-2021.00,2.B.3.j,Equipment Maintenance,IM,1.0,8,0.0,1.0,1.0,N,missing,07/2015,Analyst
11-2021.00,2.B.3.j,Equipment Maintenance,LV,0.0,8,0.0,0.0,0.0,N,Y,07/2015,Analyst
11-2021.00,2.B.3.k,Troubleshooting,IM,1.0,8,0.0,1.0,1.0,N,missing,07/2015,Analyst
11-2021.00,2.B.3.k,Troubleshooting,LV,0.0,8,0.0,0.0,0.0,N,Y,07/2015,Analyst
11-2021.00,2.B.3.l,Repairing,IM,1.0,8,0.0,1.0,1.0,N,missing,07/2015,Analyst
11-2021.00,2.B.3.l,Repairing,LV,0.0,8,0.0,0.0,0.0,N,Y,07/2015,Analyst
11-2021.00,2.B.3.m,Quality Control Analysis,IM,1.88,8,0.2266,1.4309,2.3191,N,missing,07/2015,Analyst
11-2021.00,2.B.4.e,Judgment and Decision Making,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,07/2015,Analyst
11-2021.00,2.B.4.g,Systems Analysis,IM,3.25,8,0.1637,2.9292,3.5708,N,missing,07/2015,Analyst
11-2021.00,2.B.4.h,Systems Evaluation,IM,3.5,8,0.189,3.1296,3.8704,N,missing,07/2015,Analyst
11-2021.00,2.B.5.a,Time Management,IM,3.5,8,0.189,3.1296,3.8704,N,missing,07/2015,Analyst
11-2021.00,2.B.5.b,Management of Financial Resources,IM,2.88,8,0.125,2.63,3.12,N,missing,07/2015,Analyst
11-2021.00,2.B.5.c,Management of Material Resources,IM,2.62,8,0.183,2.2664,2.9836,N,missing,07/2015,Analyst
11-2021.00,2.B.5.d,Management of Personnel Resources,IM,3.38,8,0.183,3.0164,3.7336,N,missing,07/2015,Analyst
11-2022.00,2.A.1.a,Reading Comprehension,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2025,Analyst
11-2022.00,2.A.1.b,Active Listening,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2025,Analyst
11-2022.00,2.A.1.c,Writing,IM,3.62,8,0.183,3.2664,3.9836,N,missing,08/2025,Analyst
11-2022.00,2.A.1.d,Speaking,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2025,Analyst
11-2022.00,2.A.1.e,Mathematics,IM,3.0,8,0.0,3.0,3.0,N,missing,08/2025,Analyst
11-2022.00,2.A.1.f,Science,IM,1.62,8,0.183,1.2664,1.9836,N,missing,08/2025,Analyst
11-2022.00,2.A.2.a,Critical Thinking,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2025,Analyst
11-2022.00,2.A.2.b,Active Learning,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2025,Analyst
11-2022.00,2.A.2.c,Learning Strategies,IM,3.12,8,0.125,2.88,3.37,N,missing,08/2025,Analyst
11-2022.00,2.A.2.d,Monitoring,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2025,Analyst
11-2022.00,2.B.1.a,Social Perceptiveness,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2025,Analyst
11-2022.00,2.B.1.b,Coordination,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2025,Analyst
11-2022.00,2.B.1.c,Persuasion,IM,3.88,8,0.125,3.63,4.12,N,missing,08/2025,Analyst
11-2022.00,2.B.1.d,Negotiation,IM,4.0,8,0.0,4.0,4.0,N,missing,08/2025,Analyst
11-2022.00,2.B.1.e,Instructing,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2025,Analyst
11-2022.00,2.B.1.f,Service Orientation,IM,3.62,8,0.183,3.2664,3.9836,N,missing,08/2025,Analyst
11-2022.00,2.B.2.i,Complex Problem Solving,IM,3.75,8,0.1637,3.4292,4.0708,N,missing,08/2025,Analyst
11-2022.00,2.B.3.a,Operations Analysis,IM,2.62,8,0.183,2.2664,2.9836,N,missing,08/2025,Analyst
11-2022.00,2.B.3.b,Technology Design,IM,1.5,8,0.189,1.1296,1.8704,N,missing,08/2025,Analyst
11-2022.00,2.B.3.c,Equipment Selection,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2025,Analyst
11-2022.00,2.B.3.c,Equipment Selection,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2025,Analyst
11-2022.00,2.B.3.d,Installation,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2025,Analyst
11-2022.00,2.B.3.d,Installation,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2025,Analyst
11-2022.00,2.B.3.e,Programming,IM,1.62,8,0.183,1.2664,1.9836,N,missing,08/2025,Analyst
11-2022.00,2.B.3.g,Operations Monitoring,IM,1.75,8,0.1637,1.4292,2.0708,N,missing,08/2025,Analyst
11-2022.00,2.B.3.h,Operation and Control,IM,1.75,8,0.1637,1.4292,2.0708,N,missing,08/2025,Analyst
11-2022.00,2.B.3.j,Equipment Maintenance,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2025,Analyst
11-2022.00,2.B.3.j,Equipment Maintenance,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2025,Analyst
11-2022.00,2.B.3.k,Troubleshooting,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2025,Analyst
11-2022.00,2.B.3.k,Troubleshooting,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2025,Analyst
11-2022.00,2.B.3.l,Repairing,IM,1.0,8,0.0,1.0,1.0,N,missing,08/2025,Analyst
11-2022.00,2.B.3.l,Repairing,LV,0.0,8,0.0,0.0,0.0,N,Y,08/2025,Analyst
11-2022.00,2.B.3.m,Quality Control Analysis,IM,1.75,8,0.1637,1.4292,2.0708,N,missing,08/2025,Analyst
